Artist Name,Artist Slug,Death Year,Artwork Title,Artwork Slug,WikiArt URL,Image URL,Museum Location,Notes
"Rembrandt van Rijn",rembrandt,1669,"The Angel Departing from the Family of Tobias",the-angel-departing-from-the-family-of-tobias-1641,https://www.wikiart.org/en/rembrandt/the-angel-departing-from-the-family-of-tobias-1641,https://uploads2.wikiart.org/images/rembrandt/the-angel-departing-from-the-family-of-tobias-1641.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"The large lion hunt",the-large-lion-hunt-1641,https://www.wikiart.org/en/rembrandt/the-large-lion-hunt-1641,https://uploads2.wikiart.org/images/rembrandt/the-large-lion-hunt-1641.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"The Schoolmaster",the-schoolmaster-1641,https://www.wikiart.org/en/rembrandt/the-schoolmaster-1641,https://uploads2.wikiart.org/images/rembrandt/the-schoolmaster-1641.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Three oriental figures (Jacob and Laban)",three-oriental-figures-jacob-and-laban-1641,https://www.wikiart.org/en/rembrandt/three-oriental-figures-jacob-and-laban-1641,https://uploads2.wikiart.org/images/rembrandt/three-oriental-figures-jacob-and-laban-1641.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"Self-portrait in a flat cap and embroidered dress",self-portrait-in-a-flat-cap-and-embroidered-dress-1642,https://www.wikiart.org/en/rembrandt/self-portrait-in-a-flat-cap-and-embroidered-dress-1642,https://uploads2.wikiart.org/images/rembrandt/self-portrait-in-a-flat-cap-and-embroidered-dress-1642.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"Sick woman with a large white headdress (Saskia)",sick-woman-with-a-large-white-headdress-saskia,https://www.wikiart.org/en/rembrandt/sick-woman-with-a-large-white-headdress-saskia,https://uploads2.wikiart.org/images/rembrandt/sick-woman-with-a-large-white-headdress-saskia.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"Self Portrait in a Flat Cap and Embroidered Dress",the-great-jewish-bride,https://www.wikiart.org/en/rembrandt/the-great-jewish-bride,https://uploads2.wikiart.org/images/rembrandt/the-great-jewish-bride.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"The hog",the-hog-1643,https://www.wikiart.org/en/rembrandt/the-hog-1643,https://uploads2.wikiart.org/images/rembrandt/the-hog-1643.jpg,"collection of the Rijksmuseum, Amsterdam","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"The Three Trees",the-three-trees-1643,https://www.wikiart.org/en/rembrandt/the-three-trees-1643,https://uploads2.wikiart.org/images/rembrandt/the-three-trees-1643.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Jacob with Laban",jacob-with-laban-1644,https://www.wikiart.org/en/rembrandt/jacob-with-laban-1644,https://uploads2.wikiart.org/images/rembrandt/jacob-with-laban-1644.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"The sleeping herdsman",the-sleeping-herdsman-1644,https://www.wikiart.org/en/rembrandt/the-sleeping-herdsman-1644,https://uploads2.wikiart.org/images/rembrandt/the-sleeping-herdsman-1644.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Jesus Christ s Body Carried to the Tomb",jesus-christ-s-body-carried-to-the-tomb-1645,https://www.wikiart.org/en/rembrandt/jesus-christ-s-body-carried-to-the-tomb-1645,https://uploads2.wikiart.org/images/rembrandt/jesus-christ-s-body-carried-to-the-tomb-1645.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"St. Peter in penitence",st-peter-in-penitence-1645,https://www.wikiart.org/en/rembrandt/st-peter-in-penitence-1645,https://uploads2.wikiart.org/images/rembrandt/st-peter-in-penitence-1645.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Beggar woman leaning on a stick",beggar-woman-leaning-on-a-stick-1646,https://www.wikiart.org/en/rembrandt/beggar-woman-leaning-on-a-stick-1646,https://uploads2.wikiart.org/images/rembrandt/beggar-woman-leaning-on-a-stick-1646.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Jan Cornelis Sylvius",jan-cornelis-sylvius-1646,https://www.wikiart.org/en/rembrandt/jan-cornelis-sylvius-1646,https://uploads2.wikiart.org/images/rembrandt/jan-cornelis-sylvius-1646.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Nude man seated on the ground with one leg extended",nude-man-seated-on-the-ground-with-one-leg-extended-1646,https://www.wikiart.org/en/rembrandt/nude-man-seated-on-the-ground-with-one-leg-extended-1646,https://uploads2.wikiart.org/images/rembrandt/nude-man-seated-on-the-ground-with-one-leg-extended-1646.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"The monk in the cornfield",the-monk-in-the-cornfield-1646,https://www.wikiart.org/en/rembrandt/the-monk-in-the-cornfield-1646,https://uploads2.wikiart.org/images/rembrandt/the-monk-in-the-cornfield-1646.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"The Portrait of Jan Six",the-portrait-of-jan-six-1647,https://www.wikiart.org/en/rembrandt/the-portrait-of-jan-six-1647,https://uploads2.wikiart.org/images/rembrandt/the-portrait-of-jan-six-1647.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Self-portrait drawing at a window",self-portrait-drawing-at-a-window-1648,https://www.wikiart.org/en/rembrandt/self-portrait-drawing-at-a-window-1648,https://uploads2.wikiart.org/images/rembrandt/self-portrait-drawing-at-a-window-1648.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"St. Jerome beside a pollard willow",st-jerome-beside-a-pollard-willow-1648,https://www.wikiart.org/en/rembrandt/st-jerome-beside-a-pollard-willow-1648,https://uploads2.wikiart.org/images/rembrandt/st-jerome-beside-a-pollard-willow-1648.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"Self-Portrait, Drawing at a Window",self-portrait-drawing-at-a-window,https://www.wikiart.org/en/rembrandt/self-portrait-drawing-at-a-window,https://uploads2.wikiart.org/images/rembrandt/self-portrait-drawing-at-a-window.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"A Peasant Carrying Milk Pales",a-peasant-carrying-milk-pales-1650,https://www.wikiart.org/en/rembrandt/a-peasant-carrying-milk-pales-1650,https://uploads2.wikiart.org/images/rembrandt/a-peasant-carrying-milk-pales-1650.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"A Village with a Square Tower",a-village-with-a-square-tower-1650,https://www.wikiart.org/en/rembrandt/a-village-with-a-square-tower-1650,https://uploads2.wikiart.org/images/rembrandt/a-village-with-a-square-tower-1650.jpg,"attractions include its historic canals; the Rijksmuseum, Amsterdam","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"An Arched Landscape with a Flock of Sheep",an-arched-landscape-with-a-flock-of-sheep-1650,https://www.wikiart.org/en/rembrandt/an-arched-landscape-with-a-flock-of-sheep-1650,https://uploads2.wikiart.org/images/rembrandt/an-arched-landscape-with-a-flock-of-sheep-1650.jpg,"National Gallery, London","Wikipedia"
